,COUNTY,1 Rm,2 Rms,3 Rms,4 Rms,5 Rms,6 Rms,7 Rms,8 Rms,9+
0,All Counties,189646.0,244293.0,959977.0,1988214.0,2129071.0,1730857.0,1034439.0,652777.0,633050.0
4,Alachua County,2948.0,3267.0,12031.0,23516.0,27183.0,21653.0,12395.0,7350.0,8518.0
12,Baker County,203.0,50.0,400.0,1290.0,2175.0,2179.0,1716.0,947.0,1145.0
20,Bay County,1827.0,4509.0,13538.0,23142.0,19951.0,18075.0,10198.0,5894.0,6926.0
28,Bradford County,84.0,27.0,299.0,1694.0,3101.0,2219.0,1848.0,783.0,716.0
36,Brevard County,2903.0,4776.0,19642.0,48824.0,66125.0,59402.0,38201.0,26197.0,24244.0
44,Broward County,23810.0,27831.0,125776.0,236038.0,162459.0,123610.0,71120.0,47160.0,41817.0
52,Calhoun County,51.0,279.0,465.0,1233.0,1256.0,1167.0,510.0,404.0,315.0
60,Charlotte County,1653.0,1967.0,14743.0,22648.0,30166.0,19950.0,10456.0,5449.0,4298.0
68,Citrus County,465.0,950.0,3394.0,13136.0,21791.0,21952.0,9803.0,5828.0,4823.0
76,Clay County,550.0,613.0,3587.0,8928.0,15219.0,17601.0,14933.0,11349.0,12813.0
84,Collier County,2870.0,6962.0,33046.0,50607.0,52304.0,38593.0,21327.0,11538.0,12567.0
92,Columbia County,812.0,468.0,2396.0,5746.0,7583.0,5287.0,3309.0,1931.0,2303.0
100,DeSoto County,251.0,780.0,1563.0,3501.0,4060.0,2761.0,1349.0,758.0,544.0
108,Dixie County,223.0,340.0,699.0,2083.0,1701.0,2162.0,1179.0,471.0,446.0
116,Duval County,7177.0,13315.0,42083.0,70692.0,83229.0,88945.0,55956.0,38861.0,37072.0
124,Escambia County,2203.0,3395.0,11522.0,25155.0,31025.0,28848.0,18976.0,12774.0,12225.0
132,Flagler County,235.0,257.0,1176.0,7641.0,16318.0,12964.0,7733.0,5481.0,4521.0
140,Franklin County,41.0,131.0,1124.0,2054.0,2608.0,1037.0,559.0,444.0,417.0
148,Gadsden County,53.0,415.0,1043.0,2793.0,5808.0,4402.0,1866.0,1432.0,1134.0
156,Gilchrist County,141.0,124.0,343.0,1228.0,1932.0,1913.0,784.0,613.0,501.0
164,Glades County,68.0,280.0,689.0,1458.0,1973.0,1219.0,443.0,233.0,191.0
172,Gulf County,28.0,299.0,923.0,2387.0,1640.0,1681.0,1025.0,511.0,490.0
180,Hamilton County,42.0,28.0,421.0,946.0,1452.0,1137.0,766.0,425.0,413.0
188,Hardee County,59.0,289.0,835.0,1934.0,2531.0,2092.0,955.0,559.0,583.0
196,Hendry County,106.0,337.0,1695.0,3572.0,4645.0,2645.0,662.0,854.0,711.0
204,Hernando County,592.0,880.0,3939.0,13092.0,22313.0,22509.0,12047.0,7646.0,6617.0
212,Highlands County,922.0,1341.0,5587.0,12868.0,14551.0,11016.0,5568.0,3632.0,2120.0
220,Hillsborough County,12483.0,16647.0,61347.0,107613.0,117034.0,112290.0,72336.0,52533.0,54051.0
228,Holmes County,126.0,114.0,281.0,1554.0,2655.0,1991.0,888.0,605.0,421.0
236,Indian River County,740.0,1649.0,5312.0,13885.0,22265.0,16745.0,11151.0,6252.0,5802.0
244,Jackson County,152.0,222.0,810.0,3013.0,6149.0,4929.0,2298.0,1082.0,1367.0
252,Jefferson County,75.0,86.0,260.0,1138.0,1802.0,1419.0,840.0,483.0,638.0
260,Lafayette County,136.0,34.0,125.0,578.0,1154.0,712.0,217.0,177.0,270.0
268,Lake County,1998.0,4195.0,12753.0,28621.0,39674.0,35714.0,23442.0,16793.0,14908.0
276,Lee County,5182.0,8009.0,29423.0,87053.0,118504.0,85086.0,42345.0,24723.0,19591.0
284,Leon County,2284.0,6748.0,15412.0,25341.0,29609.0,20649.0,13732.0,9579.0,10753.0
292,Levy County,230.0,261.0,1245.0,4469.0,5841.0,3976.0,2160.0,1682.0,1108.0
300,Liberty County,15.0,120.0,286.0,769.0,543.0,578.0,340.0,191.0,276.0
308,Madison County,159.0,90.0,683.0,1563.0,2188.0,1589.0,1161.0,442.0,487.0
316,Manatee County,2289.0,3338.0,17092.0,47752.0,47603.0,36833.0,24420.0,14444.0,14587.0
324,Marion County,2117.0,1944.0,8941.0,32783.0,49116.0,38602.0,21674.0,12882.0,11020.0
332,Martin County,1005.0,1351.0,4774.0,18686.0,17442.0,15217.0,9612.0,6486.0,7020.0
340,Miami-Dade County,51297.0,53340.0,190139.0,248765.0,199291.0,155288.0,84992.0,50796.0,41370.0
348,Monroe County,1791.0,4084.0,14898.0,13129.0,8540.0,5604.0,2626.0,1600.0,1762.0
356,Nassau County,210.0,545.0,1615.0,4685.0,9253.0,9251.0,6456.0,5152.0,4954.0
364,Okaloosa County,1731.0,3639.0,9711.0,14832.0,19613.0,19578.0,12745.0,9175.0,10384.0
372,Okeechobee County,324.0,534.0,2392.0,4323.0,4222.0,3204.0,1587.0,1100.0,810.0
380,Orange County,13807.0,18810.0,56242.0,102388.0,102531.0,99778.0,68772.0,48607.0,54174.0
388,Osceola County,3111.0,3375.0,10824.0,28273.0,36714.0,31836.0,18683.0,11993.0,12167.0
396,Palm Beach County,9465.0,17007.0,77114.0,174769.0,153373.0,117423.0,68082.0,42417.0,48653.0
404,Pasco County,2238.0,3988.0,18422.0,60282.0,58059.0,45752.0,29448.0,20110.0,20784.0
412,Pinellas County,16486.0,14837.0,60755.0,129494.0,106648.0,86518.0,44442.0,28493.0,28603.0
420,Polk County,3158.0,4819.0,20130.0,50613.0,92863.0,65977.0,38318.0,23693.0,20452.0
428,Putnam County,293.0,481.0,2248.0,5798.0,8036.0,8638.0,5518.0,2551.0,2620.0
436,Santa Rosa County,489.0,736.0,2776.0,9721.0,16348.0,16234.0,12501.0,9050.0,8730.0
444,Sarasota County,3286.0,4440.0,17161.0,62029.0,67191.0,46044.0,25145.0,15105.0,14200.0
452,Seminole County,2834.0,7316.0,17368.0,28948.0,32832.0,33833.0,25580.0,20912.0,25121.0
460,Saint Johns County,778.0,1933.0,5726.0,17579.0,22441.0,20953.0,16594.0,14356.0,20560.0
468,Saint Lucie County,1742.0,1199.0,6094.0,22333.0,33248.0,35288.0,22379.0,14436.0,13335.0
476,Sumter County,545.0,1595.0,4369.0,16473.0,20647.0,17314.0,8627.0,4533.0,2820.0
484,Suwannee County,327.0,144.0,1256.0,2821.0,5676.0,3591.0,2199.0,1398.0,1536.0
492,Taylor County,326.0,486.0,1045.0,2137.0,2742.0,1974.0,1135.0,824.0,441.0
500,Union County,49.0,14.0,247.0,866.0,1366.0,895.0,373.0,527.0,379.0
508,Volusia County,4158.0,4701.0,20172.0,50149.0,64745.0,62786.0,34107.0,17388.0,15629.0
516,Wakulla County,47.0,115.0,523.0,2382.0,4470.0,2751.0,1630.0,1087.0,838.0
524,Walton County,1072.0,3202.0,6594.0,10187.0,10623.0,10898.0,6116.0,3799.0,4253.0
532,Washington County,51.0,103.0,618.0,2268.0,2912.0,2302.0,1152.0,696.0,772.0
